sample	gisaid_epi_isl	genbank_accession
USA/WA-UW-2021041268513/2021	EPI_ISL_1789413	MZ231844
USA/WA-UW-21071275314/2021	?	MZ711473
USA/WA-UW162/2020	EPI_ISL_416700	MT252723
USA/WI-CDC-LC0480859/2022	EPI_ISL_9194611	OM413619
USA/WY-CDC-ASC210142997/2021	EPI_ISL_4536566	OK302808
Wales/PHWC-4D25F5/2021	EPI_ISL_1107298	OX547171
Wales/PHWC-PYRNUI/2021	EPI_ISL_1730786	OX538927
Wuhan-Hu-1/2019	EPI_ISL_402125	MN908947
ZAF/NHLS-UCT-GP-6446/2021	?	PP520144
ZAF/NHLS-UCT-GS-1341/2020	?	PP519074
IMS-10030-CVDP-A3E78A39-77A4-4AE7-9BB3-202C3D2EBEE7	?	?
IMS-10116-CVDP-4481B5F5-E36D-429A-9392-A867DF7D7B83	?	?
Belgium/CHUNamur13405938/2021	EPI_ISL_2397214	?
Brazil/DF-LACENDF_UnB-19084975_668/2021	EPI_ISL_18217806	?
Brazil/RS-FIOCRUZ-53244/2021	EPI_ISL_6940667	?
Brazil/SP-IB_124371/2021	EPI_ISL_5652973	?
Brazil/SP-IB_21_127809/2021	EPI_ISL_16371439	?
Canada/BC-BCCDC-49732/2021	EPI_ISL_2527864	?
Canada/NB-CHUDGLD-157467/2021	EPI_ISL_4491718	?
CzechRepublic/NRL_6506_21/2021	EPI_ISL_2324909	?
CzechRepublic/UMTM142822/2021	EPI_ISL_18255662	?
Denmark/DCGC-102415/2021	EPI_ISL_2299995	?
Denmark/DCGC-28125/2020	EPI_ISL_816114	?
Denmark/DCGC-47948/2020	EPI_ISL_1067483	?
Denmark/DCGC-69655/2021	EPI_ISL_1878226	?
Denmark/DCGC-77516/2021	EPI_ISL_1886135	?
England/ALDP-146F967/2021	EPI_ISL_1467181	?
England/ALDP-159187D/2021	EPI_ISL_2236274	?
England/ALDP-1E619F2/2021	EPI_ISL_4325588	?
England/ALDP-94CD44/2020	EPI_ISL_555890	?
England/BRBR-193E7AE/2021	EPI_ISL_3070105	?
England/BRBR-1A8491B/2021	EPI_ISL_3283868	?
England/BRBR-1EC1240/2021	EPI_ISL_4480134	?
England/CAMC-C76731/2020	EPI_ISL_768949	?
England/HSLL-1EC58B3/2021	EPI_ISL_4499976	?
England/LOND-1365874/2021	EPI_ISL_3001328	?
England/LSPA-1C09E1D/2021	EPI_ISL_3701072	?
England/MILK-13F632C/2021	EPI_ISL_1343903	?
England/MILK-1BADAFA/2021	EPI_ISL_3562931	?
England/MILK-1EEAF3B/2021	EPI_ISL_4524090	?
England/MILK-A4672D/2020	EPI_ISL_598736	?
